flight_number,airline_name,departure_airport,departure_city,departure_country,departure_time,arrival_airport,arrival_city,arrival_country,duration_hours
AC8159,Air Canada,Toronto Pearson,Toronto,Canada,7:35 AM,John F. Kennedy International,New York,USA,20.7
AM4372,Aeroméxico,Benito Juárez International,Mexico City,Mexico,12:49 PM,O'Hare International,Chicago,USA,20.88
NZ3584,Air New Zealand,Auckland Airport,Auckland,New Zealand,10:23 PM,Sydney Airport,Sydney,Australia,5.57
TG6875,Thai Airways,Suvarnabhumi,Bangkok,Thailand,3:43 PM,Changi,Singapore,Singapore,20.84
AZ2999,Alitalia,Leonardo da Vinci International,Rome,Italy,8:16 PM,Charles de Gaulle,Paris,France,5.5
SQ3887,Singapore Airlines,Changi,Singapore,Singapore,11:41 AM,Beijing Capital International,Beijing,China,6.67
TG7509,Thai Airways,Suvarnabhumi,Bangkok,Thailand,9:27 AM,Indira Gandhi International,Delhi,India,9.85
BA7302,British Airways,Heathrow,London,UK,9:38 PM,Charles de Gaulle,Paris,France,15.75
KE2633,Korean Air,Incheon International,Seoul,South Korea,10:14 AM,Ministro Pistarini International,Buenos Aires,Argentina,23.44
KL3191,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,2:33 AM,Charles de Gaulle,Paris,France,1.63
WN2726,Southwest Airlines,Los Angeles International,Los Angeles,USA,2:28 PM,San Francisco International,San Francisco,USA,16.35
LA9660,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,8:53 AM,Ministro Pistarini International,Buenos Aires,Argentina,19.57
SA2695,South African Airways,O.R. Tambo International,Johannesburg,South Africa,4:28 PM,Sydney Airport,Sydney,Australia,4.4
CX4520,Cathay Pacific,Hong Kong International,Hong Kong,China,6:34 PM,Changi,Singapore,Singapore,1.74
UA4214,United Airlines,Los Angeles International,Los Angeles,USA,3:12 AM,San Francisco International,San Francisco,USA,9.85
EK3219,Emirates,Dubai International,Dubai,UAE,2:41 PM,Munich Airport,Munich,Germany,12.79
AV8569,Avianca,El Dorado International,Bogotá,Colombia,12:32 PM,O'Hare International,Chicago,USA,18.06
SK3122,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,4:22 PM,Charles de Gaulle,Paris,France,8.23
UA2819,United Airlines,Los Angeles International,Los Angeles,USA,6:56 PM,Vancouver International,Vancouver,Canada,15.7
CX9412,Cathay Pacific,Hong Kong International,Hong Kong,China,12:18 PM,Changi,Singapore,Singapore,10.76
